schoolLabel,locationSchoolLabel,countrySchoolLabel
Central Saint Martins,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Central Saint Martins,London,United Kingdom
University of Chicago,Chicago,United States
Rhode Island School of Design,Providence,United States
University of the Arts London,London,United Kingdom
University of Applied Arts Vienna,Vienna,Austria
Lycée Carnot,Q125894044,France
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
University of Huddersfield,Huddersfield,United Kingdom
Ravensbourne University London,London,United Kingdom
"University of Ghana Primary School, Legon",University of Ghana,Ghana
Georgetown University,Georgetown,United States
Central Saint Martins,London,United Kingdom
Ibero-American University,Mexico City,Mexico
Yaba College of Technology,Lagos State,Nigeria
St Mary's Senior High School,Ablekuma South,Ghana
St. Mary's Secondary School,Charleville,Ireland
Westminster School,London,United Kingdom
The New School,Greenwich Village,United States
Sapienza University of Rome,Gaeta,Italy
Sapienza University of Rome,Guidonia Montecelio,Italy
Sapienza University of Rome,Isernia,Italy
Sapienza University of Rome,Pomezia,Italy
Sapienza University of Rome,Viterbo,Italy
Sapienza University of Rome,Nettuno,Italy
Sapienza University of Rome,Frosinone,Italy
Sapienza University of Rome,Cassino,Italy
Sapienza University of Rome,Cisterna di Latina,Italy
Sapienza University of Rome,Malindi,Italy
Sapienza University of Rome,Buenos Aires,Italy
Sapienza University of Rome,Ariccia,Italy
Sapienza University of Rome,Colleferro,Italy
Sapienza University of Rome,Sora,Italy
Sapienza University of Rome,Civitavecchia,Italy
Sapienza University of Rome,Latina,Italy
Sapienza University of Rome,Bracciano,Italy
Sapienza University of Rome,Terracina,Italy
Sapienza University of Rome,Pozzilli,Italy
Sapienza University of Rome,Rieti,Italy
Newcastle University,Newcastle upon Tyne,United Kingdom
Central Saint Martins,London,United Kingdom
